Step;sac_expanded;droQ_expanded;ppo_expanded;ppg_expanded;;;;;;;;
8850000;;;1858,940796;2014,551147;;;;;;;;
8880000;;;1818,543579;1965,233643;;;;;;;;
8910000;;;1912,261719;2026,67749;;;;;;;;
8940000;;;1831,776245;2015,660156;;;;;;;;
8970000;;;2018,778931;1984,661255;;;;;;;;
9000000;;;1832,567871;2020,514648;;;;;;;;
9030000;;;1777,806763;1973,073364;;;;;;;;
9060000;;;1934,552612;1942,456299;;;;;;;;
9090000;;;1802,068115;1887,759277;;;;;;;;
9120000;;;1673,864868;1977,682983;;;;;;;;
9150000;;;1846,764526;2083,608154;;;;;;;;
9180000;;;1897,446655;1992,799194;;;;;;;;
9210000;;;1932,466675;1612,370483;;;;;;;;
9240000;;;1987,063965;1735,403442;;;;;;;;
9270000;;;1844,222778;1991,022461;;;;;;;;
9300000;;;1976,460205;1921,181885;;;;;;;;
9330000;;;1955,582153;1939,796509;;;;;;;;
9360000;;;2034,122437;2022,382324;;;;;;;;
9390000;;;1628,056641;2004,280762;;;;;;;;
9420000;;;1921,209473;1994,594971;;;;;;;;
9450000;;;1863,619141;1984,960083;;;;;;;;
9480000;;;1898,760498;1963,33606;;;;;;;;
9510000;;;1974,758423;2082,483398;;;;;;;;
9540000;;;1915,627441;1999,998535;;;;;;;;
9570000;;;1740,990356;1875,890137;;;;;;;;
9600000;;;1917,797852;1943,531128;;;;;;;;
9630000;;;1787,912842;2028,928955;;;;;;;;
9660000;;;1864,961426;2031,358765;;;;;;;;
9690000;;;;1918,075073;;;;;;;;
9720000;;;;1839,519775;;;;;;;;
9750000;;;;1963,716919;;;;;;;;
9780000;;;;1954,629395;;;;;;;;
9810000;;;;2100,045654;;;;;;;;
9840000;;;;2010,598999;;;;;;;;
9870000;;;;2028,223145;;;;;;;;
9900000;;;;2106,109375;;;;;;;;
9930000;;;;1995,550781;;;;;;;;
9960000;;;;1856,535278;;;;;;;;
9990000;;;;2011,529785;;;;;;;;
